,src,target,model_pred
23,investissement a cape coral | murs ' chinois ' | chinese drywall : httpurl via username,investissement a cape coral | murs ' chinois ' | chinese drywall : httpurl via username,investissement a cape coral | murs'chinois'| chinese drywall : httpurl via username
24,username username ight like 10 $ of what nigga < 3,username username alright like 10 $ of what nigger < 3,username username alright like 10 $ of what nigger < 3
25,username heheheh miss youu ate jean ! !,username heheheh miss you ate jean ! !,username heheheh miss you ate jean ! !
26,u got me feelin brand new wolfnsheepclothing140 httpurl,you got me feeling brand new wolfnsheepclothing140 httpurl,you got me feeling brand new wolfnsheepclothing140 httpurl
27,rt username : im eating cadbury right now haha xd,rt username : i'm eating cadbury right now haha xd,rt username : i'm eating cadbury right now haha xd
28,galeris usa a tag n custa nd hashtag,galeris use a tag and custand nd hashtag,galeris use a tag and custand nd hashtag
29,rt username : taeminho lighstick has arrived ^ ^ thanku username username username httpurl,rt username : taeminho lighstick has arrived ^ ^ thank you username username username httpurl,rt username : taeminho lighstick has arrived ^ ^ thank you username username httpurl
30,""" username : zoom in 2 c an sekret mesage httpurl "" username username you will appreciate this ! hashtag",""" username : zoom in to see an secret message httpurl "" username username you will appreciate this ! hashtag",""" username : zoom in to see an secret message httpurl "" user name username you will appreciate this ! hashtag"
31,"you kno dat that aint a bad bitch , dats a knock off","you know that that ain't a bad bitch , that's a knock off","you know that that ain't a bad bitch , that's a knock off"
32,"hashtag hashtag receptionist florence clinic ft : omaha alegent creighton health is the largest not - for - profit , fai . . . httpurl","hashtag hashtag receptionist florence clinic ft : omaha alegent creighton health is the largest not - for - profit , fai . . . httpurl","hashtag hashtag receptionist florence clinic ft : omaha alegent creighton health is the largest not - for - profit , fai . . . httpurl"
33,srk with salmann khann . auchhh ! shoo handsome,srk with salmann khann . ouch ! so handsome,srk with salmann khann . ouch ! so handsome
34,southbound between a47 near hinckley ( west ) and a47 near hinckley ( east ) so - so . on the a5 from cannock towards har - httpurl,southbound between a47 near hinckley ( west ) and a47 near hinckley ( east ) so - so . on the a5 from cannock towards har - httpurl,southbound between a47 near hinckley ( west ) and a47 close hinc taekley ( east ) so - so . on the a5 from cannock towards har - httpurl
35,rt username : guys that picture of zayn is old ! ! and also you can see niall standing next to him like he wouldn't be in the crowd haha,rt username : guys that picture of zayn is old ! ! and also you can see niall standing next to him like he wouldn't be in the crowd haha,rt username : guys that picture of zayn is old ! ! and also you can see niall standing next to him like he wouldn't be in the crowd haha
36,im in a good mood right now just cus this music .,i'm in a good mood right now just because this music .,i'm in a good mood right now just because this music .
37,"lol rt username : wait . . how , infact , why do you know this ? ? rt username : most zulu nikkas got fore skin and they smell . . .","laughing out loud rt username : wait . . how , in fact , why do you know this ? ? rt username : most zulu nikkas got fore skin and they smell . . .","laughing out loud rt username : wait . . how , in fact , why do you know this ? ? rt user name : most zulu nikkas got fore skin and they smell . . ."
38,"rt username : hashtag | niall on stage at croke park , dublin - 24 . 05 . 2014 ( 30 ) httpurl","rt username : hashtag | niall on stage at croke park , dublin - 24 . 05 . 2014 ( 30 ) httpurl","rt username : hashtag | niall on stage at croke park , dublin - 24 . 05 . 2014 ( 30 ) httpurl"
39,rt username : harrys reaction when they let him play hes so cute omg hashtag httpurl,rt username : harrys reaction when they let him play he's so cute oh my god hashtag httpurl,rt username : harrys reaction when they let him play he's so cute oh my god hashtag httpurl
40,they expect me to drive to california for court just for a back seatbelt ticket ? fuhh thattt,they expect me to drive to california for court just for a back seatbelt ticket ? fuck that,they expect me to drive to california for court just for a back seatbelt ticket ? fuck that
41,username i literally love you omfg u just made my whole day complete,username i literally love you oh my fucking god you just made my whole day complete,username i literally love you oh my fucking god you just made my whole day complete
42,g ill stay home b4 i go to a party in be with a bunch of fake mtfs,g i'll stay home before i go to a party in be with a bunch of fake mtfs,g i'll stay home before i go to a party in be with a bunch of fake mtfs
43,"0r 0h 0e ( pss ) | cbs 0 , pss 0 | end 1st recap | httpurl","0r 0h 0e ( pss ) | cbs 0 , pss 0 | end 1st recap | httpurl","0r 0h 0e ( pss ) | cbs 0 , pss 0 | end 1st recap | httpurl"
44,username their number 8 ( cb ) havard nordtveit was an arsenal youth & reserve player ! lol .,username their number 8 ( cb ) havard nordtveit was an arsenal youth & reserve player ! laughing out loud .,username their number 8 ( cb ) havard nordtveit was an arsenal youth & reserve player ! laughing out loud .
45,rt username : exclusive : footage of vincent kompany going up to yaya toure after telling him he was leaving . httpurl,rt username : exclusive : footage of vincent kompany going up to yaya toure after telling him he was leaving . httpurl,rt username : exclusive : footage of vincent kompany going up to yaya toure after telling him he was leaving . httpurl
46,now streaming shakira feat residente of calle - gordita on httpurl ct / ma's hashtag nightlife website,now streaming shakira feat residente of calle - gordita on httpurl ct / ma's hashtag nightlife website,now streaming shakira feat residente of calle - gordita on httpurl ct / ma's hashtag nightlife website
47,username wtf i've only just seen this omg,username what the fuck i've only just seen this oh my god,username what the fuck i've only just seen this oh my god
48,weaver has more blocks than lundquist has saves . ha ! love rds .,weaver has more blocks than lundquist has saves . ha ! love rds .,weaver has more blocks than lundquist has saves . ha ! love rds .
49,"john mayer "" xo ( beyonce cover ) "" ( new music ) - httpurl","john mayer "" xo ( beyonce cover ) "" ( new music ) - httpurl","john mayer "" xo ( beyonce cover ) "" ( new music ) - httpurl"
50,adore you ( remix ) - miley cyrus & cedric gervais,adore you ( remix ) - miley cyrus & cedric gervais,adore you ( remix ) - miley cyrus & cedric gervais
51,rt username : mom : let's watch blues clues son : u gon have to kill me first httpurl,rt username : mom : let's watch blues clues son : you gonna have to kill me first httpurl,rt username : mom : let's watch blues clues son : you gonna have to kill me first httpurl
52,rt username : poll which would you cut ? username v peppa pig via username hashtag hashtag httpurl,rt username : poll which would you cut ? username v peppa pig via username hashtag hashtag httpurl,rt username : poll which would you cut ? username v peppa pig via username hashtag hashtag httpurl
53,"eeak meen lyshaa : d rt "" username : keep save this relationship : ) ""","eeak meen lyshaa : d rt "" username : keep save this relationship : ) ""","eeak meen lyshaa : d rt "" username : keep save this relationship : ) """
54,seeing oll dogg again was good'o,seeing old dog again was good,seeing old dog again was good
55,"rt username : luke today ( via kylie g , stylist ) httpurl","rt username : luke today ( via kylie g , stylist ) httpurl","rt username : luke today ( via kylie g , stylist ) httpurl"
56,"rt username : [ pls rt ] have sungjong last romeo card , want seongyeol or myungsoo card ( sg only )","rt username : [ please rt ] have sungjong last romeo card , want seongyeol or myungsoo card ( sg only )","rt username : [ please rt ] have sungjong last romeo card , want seongyeol or myungsoo card ( sg only )"
57,rt username : rt for a dm to luke hemmings ( mbf bc i actually do them ) httpurl,rt username : rt for a direct message to luke hemmings ( must be following because i actually do them ) httpurl,rt username : rt for a direct message to luke hemmings ( must be following because i actually do them ) httpurl
58,""" username : "" christian pace "" pt . 26 amore hai vinto tu . hashtag httpurl """,""" username : "" christian pace "" pt . 26 amore hai vinto tu . hashtag httpurl """,""" username : "" christian pace "" pt . 26 amore hai vinto tu . hashtag httpurl """
59,"username dan is a kcu alum ; has other "" funny "" songs like this . calls himself whiteboy dj . lol","username dan is a kcu alum ; has other "" funny "" songs like this . calls himself white boy dj . laughing out loud","username dan is a kcu alum ; has other "" funny "" songs like this . calls himself white boy dj . laughing out loud"
60,username sorry bout the wait homie but check your dms when you get the chance !,username sorry about the wait homie but check your direct messages when you get the chance !,username sorry about the wait homie but check your direct messages when you get the chance !
61,guess who i'm cosplaying ( it's shit but still ) as at comicon ? ? ?,guess who i'm cosplaying ( it's shit but still ) as at comicon ? ? ?,guess who i'm cosplaying ( it's shit but still ) as at comicon ? ? ?
62,username or u can just wear a condom and u don't have to worry about pullin out,username or you can just wear a condom and you don't have to worry about pulling out,username or you can just wear a condom and you don't have to worry about pulling out
63,"username woah ! ! ! ! i know this song , oppa . one of my favourite songs , "" asu wa kuru kara "" .","username wow ! ! ! ! i know this song , oppa . one of my favorite songs , "" asu wa kuru kara "" .","username wow ! ! ! and i know this song , oppa . one of my favorite songs , "" asu wa kuru kara "" ."
64,username jimin : is it okay if i asked for 2 angpaos jungkook : does this look make aunty and uncle happy for bigger angpao,username jimin : is it okay if i asked for 2 angpaos jungkook : does this look make aunty and uncle happy for bigger angpao,username jimin : is it okay if i asked for 2 angpaos jungkook : does this look make aunty and uncle happy for bigger angpao
65,alpukat madu . . yummy . . manis banget . . i like this,alpukat madu . . yummy . . manis banget . . i like this,alpukat madu . . yummy . . manis banget . . i like this
66,"to wrap up our month of moscato , host a moscato tasting party ! hashtag httpurl httpurl","to wrap up our month of moscato , host a moscato tasting party ! hashtag httpurl httpurl","to wrap up our month of moscato , host a moscat tasting party ! hashtag httpurl httpurls"
67,username haha mq pls as easy as doto for me hashtag,username haha mq please as easy as doto for me hashtag,username haha mq please as easy as doto for me hashtag
68,rt username : now on tap username centreville . chipotle porter .,rt username : now on tap username centreville . chipotle porter .,rt username : now on tap username centreville . chipotle porter .
69,rt username : yall so worried about the fact zayn was smoking weed he wasnt even wearing a seat belt,rt username : y'all so worried about the fact zayn was smoking weed he wasn't even wearing a seat belt,rt username : y'all so worried about the fact zayn was smoking weed he wasn't even wearing a seat belt
70,"rt username : eminado means goodluck , surulere means patience , username must be related to our president .","rt username : eminado means good luck , surulere means patience , username must be related to our president .","rt username : eminado means good luck , surulere means patience , username must be related to our president ."
71,rt username : this lil nigga did 10 years in timeout httpurl,rt username : this little nigger did 10 years in timeout httpurl,rt username : this little nigger did 10 years in timeout httpurl
72,omg this mango is some fuckn kill,oh my god this mango is some fucking kill,oh my god this mango is some fucking kill
73,real bjp supporters would be delighted : httpurl shourie ji putting username in his place . username username,real bjp supporters would be delighted : httpurl shourie ji putting username in his place . username username,real bjp supporters would be delighted : httpurl shourie ji putting username in his place . username username
74,"username username username angy knows , she's met my jake . a badboy with a temper . . . . raaaaar !","username username username angy knows , she's met my jake . a badboy with a temper . . . . raaaaar !","username username fanname angy knows , she's met my jake . a badboy with a temper . . . raaaaar !"
75,""" i just got 4 sugar daddies online "" - me "" u go gurl ! "" - dad",""" i just got 4 sugar daddies online "" - me "" you go girl ! "" - dad",""" i just got 4 sugar daddies online "" - me "" you go girl ! "" - dad"
76,rt username : this graduation rehersal is takin forever ! thank goodness im textin username so i have some of my sanity ! ! !,rt username : this graduation rehearsal is taking forever ! thank goodness i'm texting username so i have some of my sanity ! ! !,rt username : this graduation rehearsal is taking forever ! thank goodness i'm texting username so i have some of my sanity ! ! !
77,"username i believe the term for male ballerina is "" ballerino . "" like the pokemon .","username i believe the term for male ballerina is "" ballerino . "" like the pokemon .","username i believe the term for male ballerina is "" ballerino . "" like the pokemon ."
78,"lol dafuq . . . . smh "" username : lol 1 glass of wine and username is drunk : "" "" "" "" d ""","laughing out loud the fuck . . . . shaking my head "" username : laughing out loud 1 glass of wine and username is drunk : "" "" "" "" d ""","laughing out loud the fuck . . . shaking my head "" username : laughing out big night 1 glass of wine and username is drunk : "" "" "" d """
79,rt username : does k dolla sign want in the gm or nah . . . ?,rt username : does k dolla sign want in the gm or nah . . . ?,rt username : does k dolla sign want in the gm or nah . . . ?
80,username are u home niggah ?,username are you home nigger ?,username are you home nigger ?
81,username username next time try to fight the elction with winning spirite not with spirite to defeat others .,username username next time try to fight the elction with winning spirit not with spirit to defeat others .,username username next time try to fight the elction with winning spirit not with spirit to defeat others .
82,""" username : lmao her titys really do look like krabby patty buns httpurl "" like they're allergic to her face",""" username : laughing my ass off her titys really do look like krabby patty buns httpurl "" like they're allergic to her face",""" username : laughing my ass off her titys really do look like krabby patty buns httpurl "" like they're allergic to her face"
83,rt username : insecure bfs showin all kinds of pda cuz i came around the corner,rt username : insecure best friends showing all kinds of pda because i came around the corner,rt username : insecure best friends showing all kinds of pda because i came around the corner
84,channing tatum & jonah hill take silly selfies with fans ! httpurl hashtag,channing tatum & jonah hill take silly selfies with fans ! httpurl hashtag,channing tatum & jonah hill take silly selfies with fans ! httpurl hashtag
85,marwan asmar writes the road ahead looks intractable for hashtag : httpurl,marwan asmar writes the road ahead looks intractable for hashtag : httpurl,marwan asmar writes the road ahead looks intractable for hashtag : httpurl
86,username ha ! labour v weak round lizard point now you mention it,username ha ! labor v weak round lizard point now you mention it,username ha ! labor v weak round lizard point now you mention it
87,u . o . e . n . o dawwg,u . o . e . n . o dawwg,u . o . e . n . o dawwg
88,username yeah i know it's a guy haha i was just saying ( : do you needto talk ?,username yeah i know it's a guy haha i was just saying ( : do you need to talk ?,username yeah i know it's a guy haha i was just saying ( : do you need to talk ?
89,"enright , lonergan to miss for cats httpurl","enright , lonergan to miss for cats httpurl","enright , lonergan to miss for cats httpurl"
90,god didn't sleep oh . god saw everything wat u did to me . just wait and see . sooner or later ko kna blik jga tu . wat goes around comes around,god didn't sleep oh . god saw everything what you did to me . just wait and see . sooner or later ko kna blik jga tu . what goes around comes around,god didn't sleep oh . god saw everything what you did to me . just wait and see . sooner or later ko kna blik jga tu . what goes around comes around
91,rt username : new method of ponning school hahhahaha httpurl,rt username : new method of ponning school hahhahaha httpurl,rt username : new method of ponning school hahhahaha httpurl
92,"rt username : you can tell who voted for bnp , they all wear umbro trackies & screw face you","rt username : you can tell who voted for bnp , they all wear umbro trackies & screw face you","rt username : you can tell who voted for bnp , they all wear umbro trackies & screw face you"
93,""" username : miss cute rawr 2014 ~ username congratulation ! ! hashtag hey cutie girl xd "" chukkaeee \ m /",""" username : miss cute rawr 2014 ~ username congratulation ! ! hashtag hey cutie girl xd "" chukkaeee \ m /",""" username : miss cute rawr 2014 ~ username congratulation ! ! hashtag hey cutie girl xd "" chukkaeee \ m /"
94,having a teacher who doesnt accept late work is probably the worst thing ever when u have little time for hw every night,having a teacher who doesn't accept late work is probably the worst thing ever when you have little time for how every night,having a teacher who doesn't accept late work is probably the worst thing ever when you have little time for how every night
95,try na po words that starts with s and enda with r example : saucer admin ching,try na po words that starts with s and enda with r example : saucer admin ching,try na po words that starts with s and enda with r example : saucer admin ching
96,niall zayn louis harry liam httpurl,niall zayn louis harry liam httpurl,niall zayn louis harry liam httpurl
97,"lls can't have my niggas fallin short to bitches like dat , nah neva dat","laughing like shit can't have my niggers falling short to bitches like that , no never that","laughing like shit can't have my niggers falling short to bitches like that , no never that"
98,rt username : bro i dont feel like i even have school tmrw,rt username : bro i don't feel like i even have school tomorrow,rt username : bro i don't feel like i even have school tomorrow
99,"username username username why you going on about benitez ? why on earth leave napoli now ? poch will get time , let's get behind him","username username username why you going on about benitez ? why on earth leave napoli now ? poch will get time , let's get behind him","username username hashtag why you going on about benitez ? why on earth leave napoli now ? poch will get time , let's get behind him"
100,"had a good joint . . ahhhh hashtag rt "" username : username kena tweet kalau hisap . ""","had a good joint . . ahhhh hashtag rt "" username : username kena tweet kalau hisap . ""","had a good joint . . ahhhh hashtag rt "" username : username kena tweet kalau hisap . """
101,rt username : hashtag aca ayudando con spam < 3,rt username : hashtag aca ayudando con spam < 3,rt username : hashtag aca ayudando con spam < 3
102,"rahway , nj - paramedic - robert wood johnson university hospital rahway : perform as a paramedic in mobile inte . . . httpurl","rahway , nj - paramedic - robert wood johnson university hospital rahway : perform as a paramedic in mobile inte . . . httpurl","rahway , nj - paramedic - robert wood johnson university hospital rahwaj : perform as a paramedical in mobile inte . . . httpurl"
103,my momma ain't live like no second class nigga .,my mama ain't live like no second class nigger .,my mama ain't live like no second class nigger .
104,prateik babbar to work in a bengali film for his mom - httpurl httpurl,prateik babbar to work in a bengali film for his mom - httpurl httpurl,prateik babbar to work in a bengali film for his mom - httpurl httpurlsurl
105,username : much better a ' lil bit but username : i think you need to wash your face as much as posible haha . . peace . .,username : much better a ' little bit but username : i think you need to wash your face as much as possible haha . . peace . .,username : much better a'little bit but username ; i think you need to wash your face as much as possible haha . . peace . .
106,"rt username : can't wait till this song w / me , j , leo , leo bro n kat come out . yall gonna keep it on replay","rt username : can't wait till this song w / me , j , leo , leo bro and kat come out . y'all gonna keep it on replay","rt username : can't wait till this song w / me , j , leo , leo bro and kat come out . y'all gonna keep it on replay"
107,"username haha no worries , bit of a weird name so it's understandable haha","username haha no worries , bit of a weird name so it's understandable haha","username haha no worries , bit of a weird name so it's understandable haha"
108,username i know you a lebron fan lol so you really gotta let any flop against him go,username i know you a lebron fan laughing out loud so you really gotta let any flop against him go,username i know you a lebron fan laughing out loud so you really gotta let any flop against him go
109,rt username : manny pacquiao is real af for this . httpurl,rt username : manny pacquiao is real as fuck for this . httpurl,rt username : manny pacquiao is real as fuck for this . httpurl
110,"much money for 2014 pls . dwp'14 for meeting zedd . : "" )","much money for 2014 please . dwp'14 for meeting zedd . : "" )","much money for 2014 please . dwp'14 for meeting zedd . : "" )"
111,rt username : dressin room shenanigans ! with harrystyles httpurl,rt username : dressing room shenanigans ! with harrystyles httpurl,rt username : dressing room shenanigans ! with harrystyles httpurl
112,i won't mess up your hashtag cuz im descent but there's no unity in any group because everybody is a prick to you sometimes,i won't mess up your hashtag because i'm descent but there's no unity in any group because everybody is a prick to you sometimes,i won't mess up your hashtag because i'm descent but there's no unity in any group because everybody is a prick to you sometimes
113,username ight ima see if fam will swoop youu,username alright i'm going to see if fam will swoop you,username alright i'm going to see if fam will swoop you
114,rt username : desain kamar anak ceria - happy and bright children room design ideas httpurl,rt username : desain kamar anak ceria - happy and bright children room design ideas httpurl,rt username : desain kamar anak ceria - happy and bright children room design ideas httpurl
115,rt username : when u in public with bae & u see another girl look at him httpurl,rt username : when you in public with bae & you see another girl look at him httpurl,rt username : when you in public with bae & you see another girl look at him httpurl
116,lmao mt username : fucking jews . always throwg their holocaust privilg in ppls faces . sum1 shld just put them all in camps n . . o w8 username,laughing my ass off mt username : fucking jews . always throw their holocaust privilg in people's faces . someone should just put them all in campus and . . o wait username,laughing my ass off mt username : fucking jews . always throw their holocaust privilg in people's faces . someone should just put them all in campus and . . o wait username
117,rt username : u better locc it up .,rt username : you better lock it up .,rt username : you better lock it up .
118,rt username : rt for michael jordan fav for lebron james httpurl,rt username : retweet for michael jordan favorite for lebron james httpurl,rt username : retweet for michael jordan favorite for lebron james httpurl
119,out - jos buttler c senanayake b mathews 4 ( 6 ) - 55 / 6 in 17 . 1 ov . hashtag hashtag httpurl,out - jos buttler c senanayake b mathews 4 ( 6 ) - 55 / 6 in 17 . 1 ov . hashtag hashtag httpurl,out - jos buttler c senanayake b mathews 4 ( 6 ) - 55 / 6 in 17 . 1 ov . hashtag hashtag httpurl
120,rt username : when u tweetin in class and someone in your class favs ur tweet httpurl,rt username : when you're tweeting in class and someone in your class favorites your tweet httpurl,rt username : when you tweeting in class and someone in your class favorites your tweet httpurl
121,rt username : alcon receives positive chmp opinion for simbrinz for the treatment of glaucoma httpurl,rt username : alcon receives positive chmp opinion for simbrinz for the treatment of glaucoma httpurl,rt username : alcon receives positive chmp opinion for simbrinz for the treatment of glaucoma httpurl
122,"username u right , that's what ima do lol","username you're right , that's what i'm going to do laughing out loud","username you're right , that's what i'm going to do laughing out loud"
123,from rollingstone kanye west marries kim kardashian in florence httpurl,from rollingstone kanye west marries kim kardashian in florence httpurl,from rollingstone kanye west marries kim kardashian in florence httpurl
124,"rt username : jst watch zimuvuta by gwamba , shuld say its amazing !","rt username : just watch zimuvuta by gwamba , should say it's amazing !","rt username : just watch zimuvuta by gwamba , should say it's amazing !"
125,httpurl hashtag : fasta pasta the microwave cooker fasta pasta the microwave cookerby fasta pasta ( 543 . . . httpurl,httpurl hashtag : fasta pasta the microwave cooker fasta pasta the microwave cookerby fasta pasta ( 543 . . . httpurl,httpurl hashtag : fasta pasta the microwave cooker fasta laundry the microwave temperaturey fasta pizza ( 543 . . . httpurls
126,"httpurl at first glance , it didn't look like much , center maurkice pouncey taking his spot in the midd httpurl","httpurl at first glance , it didn't look like much , center maurkice pouncey taking his spot in the middle httpurl","httpurl at first glance , it didn't look like much , center maurkice pouncey taking his spot in the middle httpurlsurl"
127,rt username : when their is no toilets available lol : p calum is a resourceful man username httpurl,rt username : when their is no toilets available laughing out loud : p calum is a resourceful man username httpurl,rt username : when their is no toilets available laughing out loud : p calum is a resourceful man username httpurl
128,fictional characters ( that i care about ) who might die this year : sebastian jace simon alec magnus percy annabeth nico leo,fictional characters ( that i care about ) who might die this year : sebastian jace simon alec magnus percy annabeth nico leo,fictional characters ( that i care about ) who might die this year : sebastian jace simon alec magnus percy annabeth nico leo
129,karlie kloss in chanel haute couture httpurl,karlie kloss in chanel haute couture httpurl,karlie kloss in chanel haute couture httpurl
130,amd catalyst 14 . 6 introduces brand new eyefinity and mantle for notebooks with enduro | info - pc httpurl,amd catalyst 14 . 6 introduces brand new eyefinity and mantle for notebooks with enduro | info - pc httpurl,amd catalyst 14 . 6 introduces brand new eyefinity and mantle for notebooks with enduro | info - pc httpurl
131,rt username : shoutout to lauren and nancy my favorite fenwick girls,rt username : shoutout to lauren and nancy my favorite fenwick girls,rt username : shoutout to lauren and nancy my favorite fenwick girls
132,rt username : ima be a bitch now idgaf about anything anymore .,rt username : i'm going to be a bitch now idgaf about anything anymore .,rt username : i'm going to be a bitch now idgaf about anything anymore .
133,how long will i love u / / ellie goulding,how long will i love you / / ellie goulding,how long will i love you / / ellie goulding
134,i really miss texting on my old voyager tbh,i really miss texting on my old voyager to be honest,i really miss texting on my old voyager to be honest
135,username budur isteeeee ! eye of the tiger'im benim ; ),username budur isteeeee ! eye of the tiger'im benim ; ),username budur isteeeee ! eye of the tiger'im benim ; )
136,kamran khan is leaving geo watch free all tv programs . apna tv zone httpurl,kamran khan is leaving geo watch free all tv programs . apna tv zone httpurl,kamran khan is leaving geo watch free all tv programs . apna tv zone httpurl
137,uma see wats to marshalls toma,uma see what's to marshalls toma,uma see what's to marshalls toma
138,hashtag trailer of sdtg will be shown sa primiere night ng maybe this time : ) ) - selaii,hashtag trailer of sdtg will be shown sa premiere night ng maybe this time : ) ) - selaii,hashtag trailer of sdtg will be shown sa premiere night ng maybe this time : ) ) - selaii
139,if anything you hoes should be thankin me im savin yall tears & heart pains cause everybody know who kylan not leavin,if anything you hoes should be thanking me i'm saving y'all tears & heart pains because everybody know who kylan not leaving,if anything you hoes should be thanking me i'm saving y'all tears & heart pains because everybody know who kylan not leaving
140,"not again ! :'( "" username : oh well , it's a gd thing u knw ds + it's * attention nt mind : ) "" username : i'm as dumb as fack . pay me no mind : ) ""","not again ! :'( "" username : oh well , it's a good thing you know ds + it's * attention nt mind : ) "" username : i'm as dumb as fuck . pay me no mind : ) ""","not again ! :'( "" username : oh well , it's a good thing you know ds + it'l * attention nt mind : ) "" user name : i'm as dumb as fuck . pay me no mind : i ) """
141,"i'm at malaysia airlines academy - username ( petaling jaya , selangor ) w / 2 others httpurl","i'm at malaysia airlines academy - username ( petaling jaya , selangor ) w / 2 others httpurl","i'm at malaysia airlines academy - username ( petaling jaya , selangor ) w / 2 others httpurl"
142,"rt username : "" that moment when you wanna to type hahaha but you type "" haahaha "" or "" hahagaha "" . erm lantak la ""","rt username : "" that moment when you wanna to type hahaha but you type "" haahaha "" or "" hahagaha "" . erm lantak la ""","rt username : "" that moment when you wanna to type hahaha but you type "" haahaha "" or "" hahagaha "" . erm lantak la """
143,people who get to talkin reckless don't understand how much of a true savage i could b,people who get to talking reckless don't understand how much of a true savage i could be,people who get to talking reckless don't understand how much of a true savage i could be
144,""" username : rasheeda and erica the realest females on love & hip hop atl ! "" rft",""" username : rasheeda and erica the realest females on love & hip hop atl ! "" rft",""" username : rasheeda and erica the realest females on love & hip hop atl ! "" rft"
145,username rt'ed even tho im british yolo,username rt'ed even tho i'm british you only live once,username rt'ed even tho i'm british you only live once
